cambiare	scambiare	trocar, intercambiar	troquer	traffic, exchange	
camelaucum	camauro	camauro	camauro	camauro	
camelus	cammello	camello	chameau	camel	駱駝
campanarium	campanile	campanario	clocher, beffroi	belfry, bell tower	鐘楼
campus	campo; campo	campo; campo	champ; champs, champ	field, patch, land, acre, land; field	畑, 田畑; 原野, 畑, フィールド
camīnus	camino, caminetto	hogar	cheminée, âtre, foyer	fireplace	暖炉
candela	candela	vela, candela, bujía	bougie, chandelle	candle	ろうそく
canere	cantare	cantar	chanter	sing	歌う
Canes Venatici	Cani da Caccia	Canes Venatici	Chiens de chasse	Canes Venatici	
cantare	cantare	cantar	chanter	sing	歌う
cantor	cantante; cantante	cantante; cantor, cantante	chanteur, chantre; chanteur	singer, vocalist; singer, vocalist, singer	歌手; 
Cantorix	Assurancetourix	Asurancetúrix	Assurancetourix	Cacofonix	
cantrix	cantante, chanteuse, sciantosa	cantora, cantante	chanteuse	singer	
capio	prendere	tomar, acercar	prendre, rapprocher	take	運ぶ
capitalismus	capitalismo	capitalismo	capitalisme	capitalism, capitalist economy	資本主義
capitellum	capitello	capitel	chapiteau	capital	
capra	capra; capra	cabro, chivo, cabra; cabra	chèvre; chèvre	goat, domestic goat; goat	山羊, ヤギ; 
caput	testa	cabeza, mente	tête	head	頭
carate	karate	karate	karaté	karate	空手道, 空手
carbo	carbone	carbón	charbon	coal	石炭
carbonium	carbonio	carbono	carbone	carbon	炭素
carcer	prigione, carcere; carcere, prigione, carcere, carcere	prisión, cárcel; prisión, cárcel	prison; cabane, geôle, tôle, prison, taule, cabane, geôle, tôle, taule, trou, cabane, geôle, tôle, taule, pénitencier, placard	prison; prison, jail, jail, lockup	刑務所, 監獄, 拘置所, 監禁所; 監獄, かんごく, 刑務所, けいむしょ
cardamomum	cardamomo	cardamomo	cardamome	cardamom, cardamon	カルダモン
Carmana	Kerman	Kermán	Kerman	Kerman	
carmen	canzone	canción	chanson	song	歌, 歌曲
carota	carota	zanahoria	carotte	carotte, carrot, have a slash	ニンジン
carpa	carpa; carpa	carpa; carpa	carpe, carpe commune; carpe, cyprinidé	carp, Common carp, common carp, European carp; carp	コイ; 鯉, コイ
carpus	polsa, polso; 	muñeca; 	poignet; carpus	wrist; carpus	手首; 
carus	caro, costoso; amato, caro	caro, costoso, oneroso, cara; querido, querida	couteux, cher, coûteux, reuch; cher, aimé, chéri	costly, expensive, dear; dear, loved	高い; 
carō	carne	carne	viande	meat, flesh	肉
Casmeria	Kashmir	Cachemira	Cachemire	Kashmir	カシミール
cassuvium	anacardio, anacardo	anacardo	anacardier, cajou	cashew, acajou	カシュー
castanea	castagna	castaña	châtaigne	chestnut	栗
castor	castoro	castor	castor	beaver	ビーバー
Castrum Capitis Montis	Capodimonte	Capodimonte	Capodimonte	Capodimonte	カポディモンテ
casus ablativus	ablativo	ablativo	ablatif	ablative	奪格
casus generalis	caso obliquo	caso oblicuo, caso objetivo	cas régime, cas oblique	oblique case, objective case	斜格
casus obliquus	caso obliquo	caso oblicuo, caso objetivo	cas régime, cas oblique	oblique case, objective case	斜格
casus rectus	caso nominativo	nominativo, caso nominativo	cas nominatif, cas sujet	nominative case, nominative, subjective case	主格
Cataria	Qatar	Qatar	Qatar, État du Qatar	Qatar, State of Qatar	カタール
categoria	cartella, cartellina, portadocumenti	carpeta, fólder	chemise	folder, file folder	フォルダ
cathedra	sedia; cattedra	silla; 	chaise; cathèdre	chair; cathedra, bishop's throne	椅子, 椅子; 
catheter	catetere	catéter	cathéter	catheter	カテーテル
catillus	piatto	plato	assiette	plate	皿
cattus	ghatto, gatto, micio	gato, gata	chat, minou	cat	猫
catulaster	ragazzo	niño, chico, muchacho, joven, jovencito	garçon	boy	男の子
cauda	coda	cola	queue	tail	尾, 尻尾
causa	causa	causa, motivo	cause	cause	原因
Cautus	avveduto	sensato, sensata	circonspect	canny	
cavare	scavare	cabar, excavar, cavar	creuser	dig	掘る
cavea	gabbia per uccelli, gabbia per gli uccelli; cavea	jaula, alcahaz; 	cage d'oiseaux; cavea	birdcage; cavea	鳥かご, 鳥篭; 
caveat emptor	stia in guardia il compratore, Caveat emptor	cuidado por parte del comprador, no se admiten devoluciones	avertissement au consommateur	let the buyer beware, caveatemptor	
cavitas nasi	fossa nasale, cavità nasale	fosa nasal	cavité nasale, fosse nasale	nasal cavity, nasal fossa	鼻腔
cenare	mangiare	comer, ingerir, alimentarse	manger, consommer, avaler, bouffer	eat, consume, swallow	食べる, 食う, 召し上がる, 頂く, 食事する
centaurus	centauro	centauro	centaure	centaur	ケンタウロス
centenarius	centenario	centenario, centenaria	centenaire	centenarian	
centigramma	centigrammo	centigramo	centigramme	centigram	
centum	cento	ciento, cien	cent	hundred, one hundred	百
centurio	centurione	centurión	centurion	centurion	
cepa	cipolla	cebolla	ognon, oignon	onion	
cera	cera, cera d'api	cera	cire, cire d'abeille	wax, beeswax	蜜蝋
cerasum	ciliegia	cereza	cerise	cherry	桜ん坊, 桜桃, さくらんぼ
cerevisia	birra	cerveza	bière	beer, ale	ビール
cerium	cerio	cerio	cérium	cerium	セリウム
cerumen	cerume	cerumen, cerilla	cérumen, cire de l'oreille	earwax, cerumen	耳垢
ceruus	cervi, cervo	ciervos, ciervo, venado	cerf, cerf élaphe	deer	鹿
cerva	cerva	cierva	biche	doe, hind	麀
cervus	cervi, cervo	ciervos, ciervo, venado	cerf, cerf élaphe	deer	鹿
cessatio	vacanza	vacaciones, vacación	vacances, congé	holiday, opor-garai	休暇, 休み, バカンス, ヴァカンス, バケーション
cestus	reggiseno, reggipetto	sostén, sujetador	soutien-gorge, brassière, soutif, soutien-doudounes, soutien-machins, soutien-nibards, sous-tif	bra, brassiere	ブラ, ブラジャー, 乳押さえ
charta	carta, mappa, cartina; carta	mapas, mapa; papel	carte, carte géographique; papier	map; paper	地図; 紙
chartula nummaria	banconota, biglietto di banca	billete de banco, billete	billet de banque, billet, billet, billet	banknote	
chiasmus	chiasmo	quiasmo	chiasme	chiasmus	交錯配列法
Chicagia	Chicago	Chicago	Chicago	Chicago	シカゴ
Chicagum	Chicago	Chicago	Chicago	Chicago	シカゴ
chiliometrum	chilometro, km	kilómetro, km	kilomètre		キロメートル
choana			choane, arrière-narine	choana, posterior nasal aperture	
cholera	colera	cólera	choléra	cholera	コレラ
Chordata	cordati	cordados	chordés	chordate	脊索動物
christiana	cristiana	cristiana	chrétienne	Christian lady	
christianus	cristiano	cristiano	chrétien	gentile, Christian, Gentile	クリスチャン, キリスト教徒
Christianus	cristiano	cristiano, cristiana	chrétien	Christian	
chromium	cromo	cromo	chrome	chromium	クロム
chīrurgus	chirurgo	cirujano, cirujana	chirurgien	surgeon	外科医
ciborium	ciborio	ciborio		ciborium	
cicada	cicala	cigarra	cigale	cicada	蝉, セミ
cicatricosus		cicatrizado	cicatrisé	scarred	
cicatrix	cicatrice	cicatriz	cicatrice, balafre	scar, cicatrice	瘢痕, 傷
cicer	cece	garbanzo, chícharo	pois chiche	chickpea	ヒヨコ豆
cicindela	lucciola	luciérnaga	luciole	firefly, lightning bug	蛍, ホタル
ciconia	cicogna	cigüeña	cigogne	stork	コウノトリ, 鸛
cilicium	cilicio	cilicio	cilice	cilice, hairshirt	
cilium	ciglia, ciglio	pestaña	cil	eyelash, lash, ciliary, eye-lash	睫毛
cincinnatus	riccio, ricciuto, riccioluto	rizado, rizada	bouclé	curly	
Cingis Chan	Gengis Khan	Gengis Kan	Gengis Khan	Genghis Khan	チンギス・カン
Cingischam	Gengis Khan	Gengis Kan	Gengis Khan	Genghis Khan	チンギス・カン
cinis	cenere	ceniza	cendre	ash	灰
cinnamomum	cannella	canela	cannelle	cinnamon	シナモン, 肉桂
cippus sepulcralis	pietra sepolcrale, lapide	lápida	pierre tombale, pierre sépulcrale	gravestone, headstone, tombstone	墓石
circumcido	circoncidere	circuncidar	circoncire	circumcise, circumcize	割礼を行なう
cirratus	riccio, ricciuto, riccioluto	rizado, rizada	bouclé	curly	
Cithăra	cetra	cítara	cithare	zither, cither, cittern	
citrus	albero di limone, limone, pianta di limone	limonero	citronnier	lemon tree	
civitas	città	ciudades, ciudad	ville	city	都市
Civitas Vaticana	Città del Vaticano, Santa Sede, Stato della Citta del Vaticano, Vaticano	Ciudad del Vaticano	État de la Cité du Vatican, Vatican, Saint-Siège	Vatican City, The Holy See, State of the Vatican City	バチカン市国
Civitates Foederatae Americae	Stati Uniti, Stati Uniti d'America	Estados Unidos de América, Estados Unidos, E.E.U.U., EEUU	États-Unis d'Amérique, États-Unis	United States, United States of America, America, US, U.S., U.S.A., U.S. of A., States, USA	アメリカ合衆国, 米国, アメリカ
classis	classe	clase	classe	class	綱
claudo	chiudere	cerrar	fermer	close, shut	閉める
Claudus	zoppo, storpio	cojo, coja	boiteux	cripple	
clavicula	clavicola	clavícula	clavicule	clavicle, collar bone	
clavile	pianoforte, piano	piano, pianoforte	piano-forte, forte-piano, piano	piano, pianoforte	ピアノ
clavis	chiave; chiave	llave; clave	clef, clé; clé, clef	key; clef	鍵; 音部記号
clepsydra	clessidra	clepsidra, reloj de agua	clepsydre	water clock, clepsydra	水時計
clericus	chierico	clérigo	clerc, ecclésiastique	cleric	
coaequalis	coetaneo	coetáneo		coeval	
cobaltum	cobalto	cobalto	cobalt	cobalt	コバルト
coclearium	cucchiaio	cuchara	cuiller, cuillère	spoon	スプーン, さじ
coctor	cuoco	cocinero, cocinera	cuisinier, cuistot, marmiton, marmiton	cook, chef	コック
coctūrārius	cuoco	cocinero, cocinera	cuisinier, cuistot, marmiton, marmiton	cook, chef	コック
cocus	cuoco	cocinero, cocinera	cuisinier, cuistot, marmiton, marmiton	cook, chef	コック
Coelodonta antiquitatis		rinoceronte lanudo	rhinocéros laineux	woolly rhinoceros	
coffeum	caffè	café	café, caoua, caouah, cavoua	coffee	珈琲, コーヒー
coleo	testicolo, palla	testículo	testicule, couille, gosse	testicle, ball, nut, testis, orchis, ballock, bollock, egg	睾丸, 金玉, 精巣, ホーデン, 陰核, タマキン, きんたま
collega	collega	colega	collègue	colleague, coworker	同僚
collis	collina	cerro, colina, loma	colline	hill, loma, colina	丘, 丘陵
colloquium	colloquio	coloquio	colloque	colloquy	
collum	collo; colletto	cuello; collar, cuello	cou; col, encolure	neck; collar	首; 襟, カラー
colonia	colonia	colonia	colonie	colony	コロニー, 植民地
color	colore, colore, colore	color, color, color	couleur, teinte, couleur, teinte, couleur	colour, colour, colo(u)r, color, colour	色
columbarium	colombario	palomar	colombier, fuie, fuye, pigeonnier	columbarium, dovecot, dovecote, doocot, pigeoncote	
comedere	mangiare	comer, ingerir, alimentarse	manger, consommer, avaler, bouffer	eat, consume, swallow	食べる, 食う, 召し上がる, 頂く, 食事する
comes	conte	conde	comte	count, earl	伯爵
cometes	cometa	cometa	Comète, comète, astre chevelu	comet, faxed star	彗星
comitatus Neogradiensis		Novohrad	Nógrád	Novohrad, Nógrád, Nógrád County	
commemoratio	commemorazione	conmemoración	commémoration	commemoration	
comoedia	commedia	comedia	comédie	comedy	
compendiare	compendiare, riassumere, ricapitolare	resumir	résumer, récapituler	summarise, summarize	要約
compexus	abbraccio	abrazamiento, abrazo	étreinte	hug, embrace	
complexus	abbraccio	abrazamiento, abrazo	étreinte	hug, embrace	
compluvium	compluvium; compluvium	compluvio; compluvio	compluvium; compluvium	compluvium; compluvium	
concentus	accordo	acorde	accord	chord	和音, わおん
conclave	conclave	cónclave	conclave	conclave	
concordia	concordia, armonia	concordia, armonía	concorde	concord	
concordo	essere d'accordo, concordare, accordare, armonizzare, conciliare, acconsentire	concordar	être d'accord, concorder	agree	同意する
concumbō	fare sesso, fare l'amore, scopare, trombare	tener sexo, acostarse, hacer el amor	lever, baiser, lever, baiser, niquer, faire l'amour, faire crac-crac	have sex, shag, score, get laid, fuck, shag, do	はめ倒す, 嵌める, セックスをする, 性交する
Conductor	Direttore d'orchestra, Maestro del coro; Conduttore	director, conductor; conductor		conductor; conductor	
Conductorium	Conduttore	conductor		conductor	
Conductrum	Conduttore	conductor		conductor	
conductus	dipendente, impiegato	empleado	employé	employee	
confessio	confessione	confesión	confession	confession	懺悔, 告解
coniugium	matrimonio	matrimonio	mariage, épousailles	marriage, matrimony, wedlock	結婚
Connecticuta	Connecticut	Connecticut	Connecticut	Connecticut	コネチカット州
consensus	consenso, consentimento	consenso	consensus	consensus	合意
considere	sedersi, sedere, accomodarsi	sentarse	s'asseoir	sit, sit down, take a seat	座る
consonans	consonante	consonante	consonne	consonant	子音
Consonans	consonante	consonante	consonne	consonant	子音
conspuo	sputare	escupir	cracher	spit	
consutorium	grappettatrice, spillatrice, graffettatrice, cucitrice	engrampadora, engrapadora, grapadora	agrafeuse, brocheuse	stapler	ホッチキス, ステープラー, ホチキス
contagium	infezione, contagio	infección, contagio	infection	infection, contagion	感染症
contortus	contorto, ironico, beffardo	irónico, irónica	ironique, narquois	wry	
conubium	matrimonio	matrimonio	mariage, épousailles	marriage, matrimony, wedlock	結婚
convenio	essere d'accordo, concordare, accordare, armonizzare, conciliare, acconsentire	concordar	être d'accord, concorder	agree	同意する
Conventio de statu profugorum		Convención sobre el Estatuto de los Refugiados	Convention relative au statut des réfugiés	Convention Relating to the Status of Refugees	
copa	albergatore	posadero, ventero	aubergiste	innkeeper	
coquina	cucina	cocina	cuisine	kitchen	台所
coquus	cuoco	cocinero, cocinera	cuisinier, cuistot, marmiton, marmiton	cook, chef	コック
Cornubia	Cornovaglia	Cornualles	Cornouailles	Cornwall	コーンウォール
Cornubica	cornovagliese, Cornico	córnico, cornuallés	cornique	Cornish, Cornish	コーンウォール語
corollarium	corollario	corolario	corollaire	corollary	
corona	corona	corona	couronne	crown	
coronavirus	coronavirus	coronavirus	coronavirus, CoV	coronavirus, corona virus, corona-virus, CoV	コロナウイルス
Corporis ornatus	vestiario, abbigliamento	vestuario	habillement, vêtement, vêtements	clothing, apparel, garments	
corpus	corpo	cuerpo	corps	body, organic structure, physical structure, organic structure, physical structure, organic structure, physical structure	体
corruptus	corrotto	corrupto, corrupta	corrompu	corrupt	
Corsica	Corsica	Córcega	Corse	Corsica	コルシカ島
cortex	corteccia	corteza	écorce	bark	
corvus	corvo; cornacchia, corvo	cuervo; cuervo	corbeau; corvidé, corneille	raven, Common Raven, Northern Raven; crow	; カラス
cosmetorium	cosmetico, prodotto cosmetico	cosmético	cosmétique, produit cosmétique	cosmetic	
cosmographia	cosmografia	cosmografía	cosmographie	cosmography	
cosmotheoria	ideologia, weltanschauung, visione del mondo	ideología	idéologie	ideology	イデオロギー
costa	costola	costilla	côte	rib	肋骨
cottidianus	quotidianamente, giornalmente, cotidiano, quotidiano, giornaliero	coticiano, coticiana, diario, diaria, cada día, cotidiano, cotidiana, diariamente, a diario, diario	quotidiennement, journalier, quotidien	daily	毎日の
cottidie	giornalmente, quotidianamente, ogni giorno, tutti i giorni	diariamente, cotidianamente, todos los días	quotidiennement, journellement, tous les jours	daily	毎日
coulomb	coulomb	culombio, coulomb	coulomb	coulomb	クーロン
crabro	calabrone	avispón	frelon, guichard, cul jaune, beurgot, beurgot, cabrian, cul jaune, lombarde, talène, frelon européen	European hornet, hornet	モンスズメバチ, 雀蜂
crapula	postumi dell'ubriachezza, postumi della sbornia	rescasa, resaca	gueule de bois	hangover, veisalgia	宿酔, 二日酔い, 二日酔
creare	partorire, nascere, dare alla luce	criar, producir, parir, dar a luz	accoucher, donner naissance, mettre au monde	deliver, give birth, bear, birth, have, bring forth	生む, 産む
credere	credere	creer	croire	believe	信じる
crepida	sandalo	sandalia, chala, chinela	sandale	sandal	サンダル, 草鞋
crepusculum	crepuscolo; tramonto	crepúsculo, anochecer; puesta del Sol	crépuscule; coucher de soleil	twilight, dusk; sunset, sundown	薄明; 日没
Croatia	Croazia	Croacia	Croatie	Croatia, Republic of Croatia	クロアチア
cruciāmen	tortura	tortura	torture	torture	拷問
cruciātus	tortura	tortura	torture	torture	拷問
crumena	portafoglio	billetera, cartera	portefeuille	wallet, billfold, notecase, pocketbook	財布
crus	parte inferiore della gamba; gamba	parte inferior de la pierna; pierna	jambe; jambe	crus; leg, pin	; 足, 脚, 足
